time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20170111T085959,159.2,42805,178540,159.2,42805,368854
20170111T085959,159.3,42805,179806,159.3,42805,368854
20170111T085959,159.2,42805,179806,159.2,42805,368854
20170111T085959,159.3,42805,185567,159.3,42805,368854
20170111T085959,159.2,42805,183022,159.2,42805,368854
20170111T085959,159.2,48944,184415,159.2,48944,381811
20170111T085959,159.2,47678,181756,159.2,47678,381811
20170111T085959,159.2,46285,181756,159.2,46285,381811
20170111T085959,159.2,46291,181762,159.2,46291,381811
20170111T090000,159.2,38769,183402,159.2,38769,381811
20170111T090000,159.2,47931,183402,159.2,47931,381811
20170111T090000,159.2,46570,183824,159.2,46570,381811
20170111T090000,159.2,48353,183824,159.2,48353,381811
20170111T090000,159.2,49353,184824,159.2,49353,382811
20170111T090001,159.2,49447,184918,159.2,49447,382811
20170111T090001,159.2,50447,185918,159.2,50447,382811
20170111T090003,159.2,51447,186918,159.2,51447,382811
20170111T090004,159.2,52166,187637,159.2,52166,382811
20170111T090004,159.2,52168,187639,159.2,52168,382811
20170111T090004,159.2,43006,188784,159.2,43006,382811
20170111T090004,159.2,53313,189923,159.2,53313,382811
20170111T090004,159.2,54452,189923,159.2,54452,382811
20170111T090004,159.2,56064,191535,159.2,56064,382811
20170111T090004,159.2,54281,192192,159.2,54281,382811
20170111T090004,159.2,56721,192192,159.2,56721,382811
20170111T090004,159.2,55582,191053,159.2,55582,382811
20170111T090004,159.2,56582,192053,159.2,56582,382811
20170111T090005,159.2,52634,192053,159.2,52634,378415
20170111T090006,159.3,52634,198792,159.3,52634,378415
20170111T090006,159.2,52634,193585,159.2,52634,378415
20170111T090007,159.2,52722,194264,159.2,52722,378415
20170111T090012,159.2,52725,195360,159.2,52725,381915
20170111T090027,159.2,12272,147743,159.4,454,346125
20170111T090027,159.2,11505,146976,159.4,454,346125
20170111T090027,159.2,11505,144285,159.6,139,345671
20170111T090027,159.2,7395,140175,159.6,139,342666
20170111T090027,159.2,8055,137912,159.6,139,332071
20170111T090027,159.2,8055,138812,159.6,119,333756
20170111T090027,159.2,8055,138812,159.7,4268,333637
20170111T090027,159.2,8055,138812,159.7,2508,331877
20170111T090027,159.2,8055,138812,159.7,2500,331869
20170111T090027,159.2,8055,138812,159.7,866,330235
20170111T090027,159.2,8055,151491,159.5,823,342415
20170111T090027,159.2,8599,153301,159.5,823,344377
20170111T090028,159.2,9047,154349,159.5,823,344377
20170111T090028,159.2,9047,154949,159.6,988,343554
20170111T090028,159.2,9047,153683,159.6,1157,343723
20170111T090029,159.2,10882,154918,159.6,1157,343544
20170111T090029,159.2,10434,159975,159.6,1157,343544
20170111T090030,159.2,11034,159395,159.6,1157,343664
20170111T090030,159.2,11534,160195,159.6,1157,344564
20170111T090031,159.2,11982,158781,159.6,1157,344766
20170111T090033,159.2,10087,153678,159.6,1157,345189
20170111T090033,159.2,9982,153573,159.6,1157,345189
20170111T090033,159.2,9482,153073,159.6,1157,345189
20170111T090037,159.2,8882,152473,159.6,1157,346062
20170111T090038,159.3,650,153123,159.6,1157,346062
20170111T090038,159.3,2168,156441,159.6,1157,346062
20170111T090038,159.3,4003,158241,159.6,1157,346062
20170111T090038,159.3,4546,158036,159.6,1157,346062
20170111T090038,159.3,5196,158686,159.6,1157,346062
20170111T090040,159.3,4546,157806,159.6,1157,345639
